石川県身体障害者団体連合会,http://www.ishikawa-kenshinren.jp/
石川県知的障害者福祉協会,http://www.aigo.or.jp/jinken/chihokai/23.html
石川県精神障害者家族会連合会,https://ishikaren.com/
石川県肢体障害者福祉協会,
石川県肢体不自由児協会,http://www.ishi-kenshiren.jp/
石川県脊髄損傷者協会,https://ishikawa.zensekiren.jp/
（社福）石川県視覚障害者協会,http://ishishikyo.jp/
（社福）石川県聴覚障害者協会,https://www.deaf-ishikawa.or.jp/
（公益社団）石川県手をつなぐ育成会,http://w2222.nsk.ne.jp/ikuseikai/
石川県パラスポーツ指導者協議会,
石川県視覚障害者協会　ブラインドベースボールクラブ,
石川県視覚障害者協会　サウンドテーブルテニスクラブ,クラブ紹介（旧HP概要を表示）
石川県聴覚障害者協会　卓球部,https://www.deaf-ishikawa.or.jp/
石川県車いすバスケットボールクラブ　Jamaney石川,https://www.facebook.com/p/Jamaney石川車椅子バスケットボールクラブ-100070729224037/
石川県車椅子ツインバスケットボール　チームＰｏｃｋｅｙｓ,https://www.facebook.com/wtb.pockeys.isk/
石川県車いすテニス協会,クラブ紹介（旧HP概要を表示）
石川県ハンディスキー協会,
石川県障がい者卓球クラブ　YEEL(エール),クラブ紹介（旧HP概要を表示）
石川県障害者フライングディスク協会,https://i-shifd2004.sakura.ne.jp/
石川県ボッチャ協会,連絡先（旧HP概要を表示）
石川県電動車椅子サッカー協会　金沢ベストブラザーズ,https://ipfa2015.org/
障がい者陸上競技クラブ 春風クラブ　,https://kanazawa-ssc.jp/archives/class_detail/103
石川県パラアーチェリークラブ,クラブ紹介（旧HP概要を表示）
座位バレーボールクラブ　石川あいあい,
ブラインド・ガイドRUNサークル　あいりす,クラブ紹介（旧HP概要を表示）
ソフトバレーボールクラブ希望の会,
いしかわ福祉水泳協会,https://www.facebook.com/p/いしかわ福祉水泳協会-100063714172604/
ツエーゲン金沢ＢＦＣ,https://www.zweigen-kanazawa.jp/bfc/
石川県精神障害者フットサルクラブ　ヴィンセドール　ルミナス,https://genesis-neighbors.co.jp/
日本障害者カヌー協会,クラブ紹介（旧HP概要を表示）
FC.TONアグラード,https://www.footballnavi.jp/fcton/page.php?pno=497
水泳サークル マーメイド,クラブ紹介（旧HP概要を表示）
石川県ゴールボール協会,クラブ紹介（旧HP概要を表示）
金沢市ボディビル・フィットネス連盟,http://bodybuilding-fitness.jp/Kanazawa.html
車いすハンドボール／車いすハンドコミュニティOZ（オズ）,https://www.instagram.com/p/DYR7UP8j4Fh/
フロア・バレーボールチーム,
